sex__cat;age__cat;race__cat;marital-status__cat;education__cat;native-country__cat;workclass__cat;occupation__cat;salary-class__cat
Female;21;Amer-Indian-Eskimo;Divorced;HS-grad;United-States;Non-Government;Sales;<=50K
Female;29;Amer-Indian-Eskimo;Divorced;HS-grad;United-States;Non-Government;Sales;<=50K
Female;31;Amer-Indian-Eskimo;Divorced;Assoc-voc;United-States;Non-Government;Sales;<=50K
Female;39;Amer-Indian-Eskimo;Divorced;Assoc-voc;Columbia;Non-Government;Other-service;<=50K
Female;46;Amer-Indian-Eskimo;Divorced;Assoc-voc;United-States;Government;Craft-repair;<=50K
Female;47;Amer-Indian-Eskimo;Divorced;HS-grad;United-States;Non-Government;Prof-specialty;<=50K
Male;29;Amer-Indian-Eskimo;Married-civ-spouse;HS-grad;United-States;Non-Government;Handlers-cleaners;<=50K
Male;29;Amer-Indian-Eskimo;Married-civ-spouse;HS-grad;United-States;Non-Government;Machine-op-inspct;<=50K
Male;29;Amer-Indian-Eskimo;Married-civ-spouse;Some-college;United-States;Non-Government;Craft-repair;>50K
Male;30;Amer-Indian-Eskimo;Married-civ-spouse;HS-grad;United-States;Government;Armed-Forces;<=50K
Male;36;Amer-Indian-Eskimo;Married-civ-spouse;Assoc-voc;United-States;Government;Transport-moving;<=50K
Male;42;Amer-Indian-Eskimo;Married-civ-spouse;HS-grad;United-States;Government;Transport-moving;<=50K
Male;44;Amer-Indian-Eskimo;Married-civ-spouse;HS-grad;United-States;Non-Government;Transport-moving;<=50K
Male;45;Amer-Indian-Eskimo;Married-civ-spouse;HS-grad;United-States;Non-Government;Prof-specialty;<=50K
Male;46;Amer-Indian-Eskimo;Married-civ-spouse;HS-grad;United-States;Non-Government;Craft-repair;<=50K
Male;47;Amer-Indian-Eskimo;Married-civ-spouse;Some-college;United-States;Non-Government;Craft-repair;<=50K
Male;51;Amer-Indian-Eskimo;Married-civ-spouse;Some-college;United-States;Non-Government;Exec-managerial;<=50K
Male;18;Amer-Indian-Eskimo;Never-married;HS-grad;United-States;Non-Government;Handlers-cleaners;<=50K
Male;19;Amer-Indian-Eskimo;Never-married;12th;United-States;Non-Government;Handlers-cleaners;<=50K
Male;20;Amer-Indian-Eskimo;Never-married;HS-grad;United-States;Non-Government;Handlers-cleaners;<=50K
Female;22;Amer-Indian-Eskimo;Never-married;HS-grad;United-States;Non-Government;Adm-clerical;<=50K
Male;23;Amer-Indian-Eskimo;Never-married;HS-grad;United-States;Non-Government;Protective-serv;<=50K
Female;27;Amer-Indian-Eskimo;Never-married;HS-grad;United-States;Non-Government;Adm-clerical;<=50K
Female;31;Amer-Indian-Eskimo;Never-married;Assoc-acdm;United-States;Government;Adm-clerical;<=50K
Male;34;Amer-Indian-Eskimo;Never-married;HS-grad;United-States;Government;Protective-serv;<=50K
Female;35;Amer-Indian-Eskimo;Never-married;Doctorate;United-States;Government;Prof-specialty;>50K
