sex__cat,age__cat,race__cat,marital-status__cat,education__cat,native-country__cat,workclass__cat,occupation__cat,salary-class__cat
Female,43,White,Divorced,Masters,United-States,Self-emp-not-inc,Exec-managerial,>50K
Male,40,White,Married-civ-spouse,Doctorate,United-States,Private,Prof-specialty,>50K
Male,43,White,Married-civ-spouse,11th,United-States,Private,Transport-moving,<=50K
Male,31,White,Married-civ-spouse,9th,United-States,Private,Machine-op-inspct,<=50K
Female,44,White,Divorced,Masters,United-States,Private,Exec-managerial,<=50K
Male,50,White,Divorced,Bachelors,United-States,Federal-gov,Exec-managerial,>50K
Male,41,White,Married-civ-spouse,HS-grad,United-States,Private,Adm-clerical,<=50K
Female,31,Black,Separated,Bachelors,United-States,Private,Sales,<=50K
Male,40,White,Married-civ-spouse,Assoc-acdm,United-States,Private,Adm-clerical,<=50K
Male,33,White,Married-civ-spouse,Masters,United-States,Private,Prof-specialty,<=50K
Male,24,White,Never-married,Bachelors,United-States,Private,Sales,<=50K
Female,21,White,Never-married,Some-college,United-States,Private,Other-service,<=50K
Male,38,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Craft-repair,<=50K
Male,61,White,Married-civ-spouse,HS-grad,United-States,Self-emp-inc,Craft-repair,<=50K
Female,45,White,Never-married,Assoc-voc,United-States,Private,Prof-specialty,>50K
Male,70,White,Never-married,Some-college,United-States,Private,Tech-support,<=50K
Male,42,Black,Separated,Bachelors,United-States,Private,Other-service,<=50K
Male,41,White,Married-civ-spouse,Bachelors,United-States,Federal-gov,Tech-support,<=50K
Male,23,White,Married-civ-spouse,5th-6th,Mexico,Private,Transport-moving,<=50K
Female,37,White,Divorced,HS-grad,United-States,State-gov,Adm-clerical,<=50K
Female,25,White,Never-married,Some-college,United-States,Private,Tech-support,<=50K
Female,24,White,Married-civ-spouse,Some-college,United-States,Private,Machine-op-inspct,>50K
Female,43,White,Divorced,HS-grad,United-States,Private,Adm-clerical,<=50K
Male,34,Asian-Pac-Islander,Married-civ-spouse,Masters,Taiwan,Private,Exec-managerial,>50K
Female,29,White,Never-married,11th,United-States,Private,Exec-managerial,<=50K
Male,55,White,Married-civ-spouse,10th,United-States,Local-gov,Adm-clerical,<=50K
Male,33,White,Never-married,HS-grad,United-States,Private,Farming-fishing,<=50K
Female,22,Black,Never-married,Some-college,United-States,State-gov,Protective-serv,<=50K
Female,39,White,Divorced,HS-grad,United-States,Private,Sales,<=50K
Female,26,White,Never-married,Some-college,United-States,Federal-gov,Adm-clerical,<=50K
Female,23,White,Never-married,HS-grad,United-States,Private,Other-service,<=50K
Male,20,White,Never-married,Some-college,United-States,Private,Handlers-cleaners,<=50K
Male,28,Other,Married-civ-spouse,7th-8th,Puerto-Rico,Private,Handlers-cleaners,<=50K
Male,46,White,Married-civ-spouse,Doctorate,United-States,Private,Exec-managerial,>50K
Male,24,White,Never-married,HS-grad,United-States,Federal-gov,Armed-Forces,<=50K
Male,27,White,Never-married,10th,United-States,Private,Other-service,<=50K
Female,25,Black,Married-spouse-absent,Some-college,United-States,Private,Adm-clerical,<=50K
Male,59,White,Married-civ-spouse,HS-grad,United-States,Local-gov,Transport-moving,<=50K
Female,34,White,Divorced,HS-grad,United-States,Private,Prof-specialty,<=50K
Male,33,White,Never-married,Bachelors,United-States,Private,Craft-repair,<=50K
Female,25,White,Never-married,Bachelors,United-States,Private,Sales,<=50K
Male,50,White,Married-civ-spouse,HS-grad,United-States,Private,Exec-managerial,>50K
Female,31,White,Never-married,Bachelors,United-States,Self-emp-inc,Farming-fishing,<=50K
Male,21,White,Never-married,HS-grad,United-States,Private,Handlers-cleaners,<=50K
Female,72,White,Widowed,11th,United-States,Private,Adm-clerical,<=50K
Female,34,White,Married-civ-spouse,HS-grad,United-States,Private,Tech-support,<=50K
Male,20,Amer-Indian-Eskimo,Never-married,HS-grad,United-States,Private,Handlers-cleaners,<=50K
Male,47,White,Divorced,Masters,United-States,Private,Exec-managerial,<=50K
Male,37,White,Married-civ-spouse,Assoc-voc,United-States,Private,Craft-repair,>50K
