acctype__cat,light__cat,numvehs__int,pop_group__cat,road_def1__cat,rdsurf__cat,rodwycls__cat,weather1__cat,contrib1__cat,drv_age__int,drv_inj__cat,drv_sex__cat,object1__cat,sobriety__cat,vehtype__cat,vehyr__int,severity__cat
E,C,1,9,H,B,6,B,N,44,0,M,10,A,2,2004,0
C,A,4,9,H,C,7,D,I,49,0,M,---,A,2,1996,0
B,A,2,3,H,A,1,A,N,34,0,M,V1,A,2,1996,0
B,C,2,7,H,B,1,C,N,46,0,M,V1,A,2,2003,0
C,A,2,9,H,C,7,D,I,53,4,M,V1,A,2,2006,4
C,C,2,2,H,A,3,E,N,25,0,M,V2,A,2,2007,0
B,A,2,9,H,C,99,B,N,27,0,M,V2,A,2,2005,0
B,A,2,9,H,C,7,D,I,49,0,M,V2,A,2,1996,0
D,C,2,9,H,A,4,A,N,52,0,M,V2,A,2,2002,0
B,A,2,7,H,A,1,A,N,998,0,M,V1,D,2,1989,0
E,A,2,9,H,A,1,A,N,47,0,M,---,G,2,1992,0
E,C,1,9,H,A,1,A,N,44,3,M,13,<,A,1992,3
E,D,1,9,H,B,6,B,A,33,3,F,15,<,A,2002,3
E,A,1,7,H,B,1,B,A,23,0,M,15,<,A,2002,0
F,C,1,6,H,B,1,B,N,41,4,F,18,<,A,2006,3
E,A,1,9,H,A,8,B,M,35,0,M,28,<,A,1984,0
E,C,1,7,H,A,1,A,N,18,4,F,30,<,A,2006,4
E,A,2,5,H,A,1,A,N,83,0,M,46,<,A,2000,0
F,A,1,9,H,A,6,A,A,47,2,F,99,<,A,1999,2
C,A,3,9,H,A,1,A,A,18,0,M,---,<,A,1975,4
E,A,2,9,H,A,8,B,A,22,0,M,---,<,A,1991,0
B,C,2,7,H,B,1,B,N,32,0,F,V1,<,A,2002,0
C,A,3,9,H,A,1,A,N,18,0,M,V1,<,A,2007,4
B,A,2,9,H,C,6,D,N,38,0,M,V1,<,A,2006,0
B,A,2,5,H,B,1,B,N,40,0,M,V1,<,A,2004,0
D,C,2,9,H,B,1,E,N,25,4,M,V1,<,A,1998,3
C,A,2,9,H,A,6,A,N,19,0,F,V2,<,A,1993,0
C,D,2,4,H,A,1,A,A,21,0,F,V2,<,A,2007,4
D,A,2,6,H,B,4,B,N,32,0,F,V2,<,A,2005,0
B,C,3,5,H,B,99,B,N,42,0,F,V2,<,A,1996,0
D,A,2,1,H,C,8,D,F,20,0,M,V2,<,A,1997,4
D,A,2,5,C,A,1,B,A,23,0,M,V2,<,A,1995,0
B,A,2,9,H,A,6,A,N,23,0,M,V2,<,A,2007,0
D,C,2,9,H,B,1,E,N,32,0,M,V2,<,A,2000,3
C,A,3,9,H,A,1,A,N,33,4,M,V2,<,A,1999,4
E,C,1,9,H,B,3,B,N,19,0,F,1,A,A,1999,0
E,A,1,7,H,B,1,B,N,30,0,F,1,A,A,2004,0
E,A,1,9,H,A,6,B,N,30,0,F,1,A,A,2001,0
E,A,1,9,H,B,6,B,N,39,0,F,1,A,A,2000,0
E,C,1,7,H,B,1,B,A,43,0,F,1,A,A,1991,0
