lat__float,longitude__float,acctype__cat,light__cat,numvehs__cat,rdsurf__cat,rodwycls__cat,weather__cat,severity__cat
41.62023359,-90.33483402,11,1,2,2,8,7,0
41.8251673,-87.60033896,11,1,2,1,1,1,0
41.95426792,-87.66912532,10,5,2,1,4,1,0
42.02659488,-89.35306406,6,2,1,4,8,4,0
42.00331221,-89.61108933,6,1,1,4,8,4,0
42.00525935,-89.26905033,6,4,1,3,8,3,0
42.10715199,-89.17178699,6,1,1,3,8,3,0
42.15142342,-89.24216827,6,1,2,1,8,1,0
42.10141662,-89.09490124,11,1,2,1,8,1,0
42.08650375,-89.02259563,11,4,2,4,6,1,0
42.02806177,-89.35973711,6,4,1,4,8,5,0
42.02640193,-89.35216511,4,1,1,1,8,1,0
42.00725659,-89.01038438,5,4,1,3,8,3,0
42.04564098,-89.67534421,5,4,1,4,8,2,0
42.03623139,-89.02101276,5,4,1,3,6,3,0
42.03944923,-89.06589661,5,4,1,4,8,5,0
42.07275667,-87.85575824,11,1,2,3,4,1,0
42.10573531,-87.84901511,11,5,2,2,3,1,0
42.072917,-87.81947134,11,1,2,1,3,1,0
42.0408639,-87.79897709,11,1,2,1,4,1,0
38.52988521,-89.13203486,15,1,2,1,99,1,0
41.69002925,-87.79526765,15,1,2,1,4,1,0
41.75272627,-87.94468567,12,1,2,1,1,1,0
41.77296792,-87.94626754,11,2,2,1,1,1,0
41.98539358,-87.69891993,10,5,2,9,4,1,0
41.97697624,-87.69240507,10,1,2,1,5,1,0
41.72204887,-87.60402475,12,5,2,1,3,1,0
41.88793954,-89.52451403,6,4,1,4,8,5,0
41.58221259,-88.17158897,6,4,1,1,3,1,0
41.61815181,-88.19273969,4,4,1,1,3,4,0
41.29720795,-88.1697556,4,4,1,1,3,1,0
41.55301906,-87.8514126,6,4,1,3,1,3,0
41.28873234,-88.24092298,4,4,1,1,8,1,0
40.55082077,-89.81437584,4,4,1,2,8,4,0
40.68680632,-89.67551128,7,1,1,3,1,3,0
40.60981953,-89.21443315,6,1,1,3,6,3,0
40.76047072,-89.48424629,6,1,1,3,9,3,0
