sex__cat;age__cat;race__cat;marital-status__cat;education__cat;native-country__cat;workclass__cat;occupation__cat;salary-class__cat
Female;*;*;Spouse not present;Graduate;*;Government;Nontechnical;<=50K
Female;*;*;Spouse not present;Graduate;*;Government;Nontechnical;<=50K
Female;*;*;Spouse not present;Graduate;*;Government;Other;<=50K
Female;*;*;Spouse not present;Graduate;*;Government;Other;<=50K
Female;*;*;Spouse not present;Graduate;*;Government;Technical;<=50K
Female;*;*;Spouse not present;Graduate;*;Government;Technical;<=50K
Female;*;*;Spouse not present;Graduate;*;Government;Technical;<=50K
Female;*;*;Spouse not present;Graduate;*;Government;Technical;<=50K
Female;*;*;Spouse not present;Graduate;*;Government;Technical;<=50K
Female;*;*;Spouse not present;Graduate;*;Government;Technical;<=50K
Female;*;*;Spouse not present;Graduate;*;Government;Technical;<=50K
Female;*;*;Spouse not present;Graduate;*;Government;Technical;<=50K
Female;*;*;Spouse not present;Graduate;*;Government;Technical;<=50K
Female;*;*;Spouse not present;Graduate;*;Government;Technical;<=50K
Female;*;*;Spouse not present;Graduate;*;Government;Technical;<=50K
Female;*;*;Spouse not present;Graduate;*;Government;Technical;<=50K
Female;*;*;Spouse not present;Graduate;*;Government;Technical;<=50K
Female;*;*;Spouse not present;Graduate;*;Non-Government;Nontechnical;<=50K
Female;*;*;Spouse not present;Graduate;*;Non-Government;Nontechnical;<=50K
Female;*;*;Spouse not present;Graduate;*;Non-Government;Nontechnical;<=50K
Female;*;*;Spouse not present;Graduate;*;Non-Government;Nontechnical;<=50K
Female;*;*;Spouse not present;Graduate;*;Non-Government;Other;<=50K
Female;*;*;Spouse not present;Graduate;*;Non-Government;Other;<=50K
Female;*;*;Spouse not present;Graduate;*;Non-Government;Other;<=50K
Female;*;*;Spouse not present;Graduate;*;Non-Government;Technical;<=50K
Female;*;*;Spouse not present;Graduate;*;Non-Government;Technical;<=50K
Female;*;*;Spouse not present;Graduate;*;Non-Government;Technical;<=50K
Female;*;*;Spouse not present;Graduate;*;Non-Government;Technical;<=50K
Female;*;*;Spouse not present;Graduate;*;Non-Government;Technical;<=50K
Female;*;*;Spouse not present;Graduate;*;Non-Government;Technical;<=50K
Female;*;*;Spouse not present;Graduate;*;Non-Government;Technical;<=50K
Female;*;*;Spouse not present;Graduate;*;Non-Government;Technical;<=50K
Female;*;*;Spouse not present;Graduate;*;Non-Government;Technical;<=50K
Female;*;*;Spouse not present;Graduate;*;Non-Government;Technical;<=50K
Female;*;*;Spouse not present;Graduate;*;Non-Government;Technical;<=50K
Female;*;*;Spouse not present;Graduate;*;Non-Government;Technical;<=50K
Female;*;*;Spouse not present;Graduate;*;Non-Government;Technical;<=50K
Female;*;*;Spouse not present;High School;*;Government;Nontechnical;<=50K
Female;*;*;Spouse not present;High School;*;Government;Nontechnical;<=50K
Female;*;*;Spouse not present;High School;*;Government;Other;<=50K
Female;*;*;Spouse not present;High School;*;Government;Other;<=50K
Female;*;*;Spouse not present;High School;*;Government;Other;<=50K
Female;*;*;Spouse not present;High School;*;Government;Other;<=50K
Female;*;*;Spouse not present;High School;*;Government;Other;<=50K
Female;*;*;Spouse not present;High School;*;Government;Other;<=50K
Female;*;*;Spouse not present;High School;*;Government;Other;<=50K
Female;*;*;Spouse not present;High School;*;Government;Other;<=50K
Female;*;*;Spouse not present;High School;*;Government;Other;<=50K
Female;*;*;Spouse not present;High School;*;Government;Other;<=50K
Female;*;*;Spouse not present;High School;*;Government;Other;<=50K
Female;*;*;Spouse not present;High School;*;Government;Other;<=50K
Female;*;*;Spouse not present;High School;*;Government;Other;<=50K
Female;*;*;Spouse not present;High School;*;Government;Other;<=50K
Female;*;*;Spouse not present;High School;*;Government;Other;<=50K
Female;*;*;Spouse not present;High School;*;Government;Other;<=50K
Female;*;*;Spouse not present;High School;*;Government;Other;<=50K
Female;*;*;Spouse not present;High School;*;Government;Other;<=50K
Female;*;*;Spouse not present;High School;*;Government;Other;<=50K
Female;*;*;Spouse not present;High School;*;Government;Other;<=50K
Female;*;*;Spouse not present;High School;*;Government;Other;<=50K
Female;*;*;Spouse not present;High School;*;Government;Other;<=50K
Female;*;*;Spouse not present;High School;*;Government;Other;<=50K
Female;*;*;Spouse not present;High School;*;Government;Other;<=50K
Female;*;*;Spouse not present;High School;*;Government;Other;<=50K
Female;*;*;Spouse not present;High School;*;Government;Other;<=50K
Female;*;*;Spouse not present;High School;*;Government;Other;<=50K
Female;*;*;Spouse not present;High School;*;Government;Technical;<=50K
Female;*;*;Spouse not present;High School;*;Government;Technical;<=50K
Female;*;*;Spouse not present;High School;*;Government;Technical;<=50K
